id	rcd	symbol	hgncid	ensgstable	evidence	testin	pathway	confidence	experiments	caution	uniprotac	pmid	remark	latestupdate	datasource	uniformgenetype
21	Ferroptosis	ACSL4	HGNC:3571	ENSG00000068366	Deletion of this gene likely suppress ferroptosis by limiting the membrane-resident pool of oxidation-sensitive fatty acids.	Human	ACSL4 :+: Ferroptosis	Predicted	0	Author prediction based on gene function.	O60488	25965523	_NA_	2020/12/31	FerrDb team	gene with protein product
22	Ferroptosis	LPCAT3	HGNC:30244	ENSG00000111684	Deletion of this gene likely suppress ferroptosis by limiting the membrane-resident pool of oxidation-sensitive fatty acids.	Human	LPCAT3 :+: Ferroptosis	Predicted	0	Author prediction based on gene function.	Q6P1A2	25965523	_NA_	2020/12/31	FerrDb team	gene with protein product
23	Ferroptosis	NRAS	HGNC:7989	ENSG00000213281	NRAS12V mutant protects RMS13 cells from ferroptotic cell death.	Human	NRAS :+: Ferroptosis	Deduced	0	Inferred as a promoter because RAS mutant is resistant to ferroptosis.	P01111	26157704	_NA_	2020/12/31	FerrDb team	gene with protein product
24	Ferroptosis	KRAS	HGNC:6407	ENSG00000133703	KRAS12V mutant protects RMS13 cells from ferroptotic cell death.	Human	KRAS :+: Ferroptosis	Deduced	0	Inferred as a promoter because RAS mutant is resistant to ferroptosis.	P01116	26157704	_NA_	2020/12/31	FerrDb team	gene with protein product
25	Ferroptosis	HRAS	HGNC:5173	ENSG00000174775	HRAS12V mutant protects RMS13 cells from ferroptotic cell death.	Human	HRAS :+: Ferroptosis	Deduced	0	Inferred as a promoter because RAS mutant is resistant to ferroptosis.	P01112	26157704	_NA_	2020/12/31	FerrDb team	gene with protein product
26	Ferroptosis	TF	HGNC:11740	ENSG00000091513	Essential for the induction of ferroptotic cell death. Transferrin can only interact with transferrin receptor and be transported into the cell when it is loaded with iron.	Mice	TF :+: Ferroptosis	Validated	0	Recognized as a suppressor in other studies.	P02787	26166707	Transferrin in article	2020/12/31	FerrDb team	gene with protein product
27	Ferroptosis	TFRC	HGNC:11763	ENSG00000072274	RNAi of transferrin receptor (TfR) inhibited ferroptosis.	Mice	TFRC :+: Ferroptosis	Validated	0	_NA_	P02786	26166707	Tfr in article	2020/12/31	FerrDb team	gene with protein product
28	Ferroptosis	TFR2	HGNC:11762	ENSG00000106327	RNAi of transferrin receptor (TfR) inhibited ferroptosis.	Mice	TFR2 :+: Ferroptosis	Validated	0	_NA_	Q9UP52	26166707	Tfr in article	2020/12/31	FerrDb team	gene with protein product
29	Ferroptosis	SLC38A1	HGNC:13447	ENSG00000111371	RNAi knockdown markedly blocked ferroptosis.	Mice	SLC38A1 :+: Glutamine, Glutamine :+: Glutamate, Glutamate :+: alpha-Ketoglutarate, alpha-Ketoglutarate :+: Ferroptosis	Validated	0	_NA_	Q9H2H9	26166707	_NA_	2020/12/31	FerrDb team	gene with protein product
30	Ferroptosis	SLC1A5	HGNC:10943	ENSG00000105281	Pharmacological inhibition by L-g-glutamyl-p-nitroanilide or RNAi knockdown markedly blocked ferroptosis.	Mice	SLC1A5 :+: Glutamine, Glutamine :+: Glutamate, Glutamate :+: alpha-Ketoglutarate, alpha-Ketoglutarate :+: Ferroptosis	Validated	0	_NA_	Q15758	26166707	_NA_	2020/12/31	FerrDb team	gene with protein product
31	Ferroptosis	GLS2	HGNC:29570	ENSG00000135423	Both inhibitor inhibition and gene knockdown inhibit ferroptotic cell death.	Mice	GSL2 :+: Glutamate, Glutamate :+: Ferroptosis	Validated	0	_NA_	Q9UI32	26166707	_NA_	2020/12/31	FerrDb team	gene with protein product
32	Ferroptosis	GOT1	HGNC:4432	ENSG00000120053	RNAi reduced ferroptosis.	Mice	GOT1 :+: alpha-Ketoglutarate, alpha-Ketoglutarate :+: Ferroptosis	Validated	0	_NA_	P17174	26166707	_NA_	2020/12/31	FerrDb team	gene with protein product
33	Ferroptosis	CARS1	HGNC:1493	ENSG00000110619	Required for ferroptosis in diverse cell contexts. Knockdown of CARS inhibited erastin-induced death by preventing the induction of lipid reactive oxygen species, without altering iron homeostasis.	Human, rat	CARS1 :-: Transsulfuration pathway, Transsulfuration pathway :-: Ferroptosis	Validated	0	_NA_	P49589	26184909	CARS in article	2020/12/31	FerrDb team	gene with protein product
34	Ferroptosis	TP53	HGNC:11998	ENSG00000141510	Wild type p53 can induce ferroptosis upon reactive oxygen species (ROS)-induced stress.	Human	TP53 :-: SLC7A11, SLC7A11 :-: Ferroptosis	Validated	0	_NA_	P04637	26218928	p53 in article	2020/12/31	FerrDb team	gene with protein product
35	Ferroptosis	ALOX5	HGNC:435	ENSG00000012779	The 5-Lipoxygenase inhibitor zileuton protected HT22 neuronal cells from erastin-induced ferroptosis.	Mice	ALOX5 :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Validated	0	_NA_	P09917	26235588	5-LOX in article	2020/12/31	FerrDb team	gene with protein product
36	Ferroptosis	KEAP1	HGNC:23177	ENSG00000079999	Knockdown of Keap1 reversed loss of p62-increased degradation of NRF2 in ferroptosis. Keap1 knockdown led to resistance to erastin-induced and sorafenib-induced growth inhibition with decreased ferroptotic events in the absence or presence of p62 knockdown.	Human, mice	KEAP1 :-: NFE2L2, NFE2L2 :-: Ferroptosis	Validated	0	_NA_	Q14145	26403645	_NA_	2020/12/31	FerrDb team	gene with protein product
37	Ferroptosis	HMOX1	HGNC:5013	ENSG00000100292	Zinc protoporphyrin IX, a HO-1 inhibitor, prevented Erastin-triggered ferroptotic cancer cell death. Overexpression accelerates erastin-induced cell death.	Human, mice	HMOX1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Validated	0	Other articles (PMID 26403645, 28515173) suggest it a suppressor.	P09601	26405158	HO-1 in article	2020/12/31	FerrDb team	gene with protein product
38	Ferroptosis	TP53	HGNC:11998	ENSG00000141510	p53^3KR/3KR Xrcc4^-/- MEF cells are very sensitive to ferroptosis. Stabilized in the spleens of p53^3KR/3KR Xrcc4^-/- mice which enables to prevent the development of pro-B-cell lymphomas.	Mice	TP53 :-: SLC7A11, SLC7A11 :-: Ferroptosis	Validated	0	_NA_	P04637	26943586	p53 in article	2020/12/31	FerrDb team	gene with protein product
39	Ferroptosis	TP53	HGNC:11998	ENSG00000141510	Incubation with erastin led to profound cell death in wild-type MEFs.	Human, mice	TP53 :-: SLC7A11, SLC7A11 :-: Ferroptosis	Validated	0	_NA_	P04637	27034505	p53 in article	2020/12/31	FerrDb team	gene with protein product
40	Ferroptosis	GLS2	HGNC:29570	ENSG00000135423	Upregulated in erastin-treated wild-type MEFs, and silencing Gls2 exihibits cell death defect in wild-type MEFs treated with erastin.	Mice	GLS2 :+: Ferroptosis	Validated	0	_NA_	Q9UI32	27034505	_NA_	2020/12/31	FerrDb team	gene with protein product
41	Ferroptosis	ATG5	HGNC:589	ENSG00000057663	Knockout or knockdown limited erastin-induced ferroptosis.	Human, mice	ATG5 :+: Ferroptosis	Validated	0	_NA_	Q9H1Y0	27245739	_NA_	2020/12/31	FerrDb team	gene with protein product
42	Ferroptosis	ATG7	HGNC:16935	ENSG00000197548	Knockout or knockdown limited erastin-induced ferroptosis.	Human, mice	ATG7 :+: Ferroptosis	Validated	0	_NA_	O95352	27245739	_NA_	2020/12/31	FerrDb team	gene with protein product
43	Ferroptosis	NCOA4	HGNC:7671	ENSG00000266412	Inhibition suppressed ferroptosis, and overexpression promoted ferroptosis.	Human	NCOA4 :-: FTH1, FTH1 :-: Ferroptosis	Validated	0	_NA_	Q13772	27245739	_NA_	2020/12/31	FerrDb team	gene with protein product
44	Ferroptosis	TF	HGNC:11740	ENSG00000091513	Involved in siramesine and lapatinib-induced ferroptotic cell death. Increased following treatment with lapatinib alone or in combination with siramesine. Knocking down of transferrin resulted in decreased cell death and ROS after treatment.	Human	TF :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Validated	0	Recognized as a suppressor in other studies.	P02787	27441659	Transferrin in article	2020/12/31	FerrDb team	gene with protein product
45	Ferroptosis	ALOX5	HGNC:435	ENSG00000012779	Silencing ALOX genes made cells resistant to ferroptosis.	Human	ALOX5 :+: PUFAs peroxidation, PUFAs peroxidation :+: Ferroptosis	Validated	0	_NA_	P09917	27506793	_NA_	2020/12/31	FerrDb team	gene with protein product
46	Ferroptosis	ALOX12	HGNC:429	ENSG00000108839	Silencing ALOX genes made cells resistant to ferroptosis.	Human	ALOX12 :+: PUFAs peroxidation, PUFAs peroxidation :+: Ferroptosis	Validated	0	_NA_	P18054	27506793	_NA_	2020/12/31	FerrDb team	gene with protein product
47	Ferroptosis	ALOX12B	HGNC:430	ENSG00000179477	Silencing ALOX genes made cells resistant to ferroptosis.	Human	ALOX12B :+: PUFAs peroxidation, PUFAs peroxidation :+: Ferroptosis	Validated	0	_NA_	O75342	27506793	_NA_	2020/12/31	FerrDb team	gene with protein product
48	Ferroptosis	ALOX15	HGNC:433	ENSG00000161905	Silencing ALOX genes made cells resistant to ferroptosis.	Human	ALOX15 :+: PUFAs peroxidation, PUFAs peroxidation :+: Ferroptosis	Validated	0	_NA_	P16050	27506793	_NA_	2020/12/31	FerrDb team	gene with protein product
49	Ferroptosis	ALOX15B	HGNC:434	ENSG00000179593	Silencing ALOX genes made cells resistant to ferroptosis. Erastin-induced cell death was rescued by silencing either ALOX15B or ALOXE3, which supported the hypothesis that lipoxygenases are required for ferroptosis.	Human	ALOX15B :+: PUFAs peroxidation, PUFAs peroxidation :+: Ferroptosis	Validated	0	_NA_	O15296	27506793	_NA_	2020/12/31	FerrDb team	gene with protein product
50	Ferroptosis	ALOXE3	HGNC:13743	ENSG00000179148	Silencing ALOX genes made cells resistant to ferroptosis. Erastin-induced cell death was rescued by silencing either ALOX15B or ALOXE3, which supported the hypothesis that lipoxygenases are required for ferroptosis.	Human	ALOXE3 :+: PUFAs peroxidation, PUFAs peroxidation :+: Ferroptosis	Validated	0	_NA_	Q9BYJ1	27506793	_NA_	2020/12/31	FerrDb team	gene with protein product
51	Ferroptosis	PHKG2	HGNC:8931	ENSG00000156873	U-2-OS cells became resistant to erastin upon PHKG2 silencing. Erastin-treated HT-1080 cells were rescued by shPHKG2.	Human	PHKG2 :+: PUFAs peroxidation, PUFAs peroxidation :+: Ferroptosis	Validated	0	_NA_	P15735	27506793	_NA_	2020/12/31	FerrDb team	gene with protein product
52	Ferroptosis	TFRC	HGNC:11763	ENSG00000072274	The gene targets of the enriched shRNAs are potential genes that positively regulate ferroptosis.	Mice	TFRC :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Screened	0	_NA_	P02786	27514700	_NA_	2020/12/31	FerrDb team	gene with protein product
53	Ferroptosis	ACO1	HGNC:117	ENSG00000122729	The gene targets of the enriched shRNAs are potential genes that positively regulate ferroptosis.	Mice	ACO1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Screened	0	_NA_	P21399	27514700	_NA_	2020/12/31	FerrDb team	gene with protein product
54	Ferroptosis	IREB2	HGNC:6115	ENSG00000136381	The gene targets of the enriched shRNAs are potential genes that positively regulate ferroptosis.	Mice	IREB2 :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Screened	0	_NA_	P48200	27514700	_NA_	2020/12/31	FerrDb team	gene with protein product
55	Ferroptosis	SLC38A1	HGNC:13447	ENSG00000111371	The gene targets of the enriched shRNAs are potential genes that positively regulate ferroptosis.	Mice	SLC38A1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Screened	0	_NA_	Q9H2H9	27514700	_NA_	2020/12/31	FerrDb team	gene with protein product
56	Ferroptosis	GLS2	HGNC:29570	ENSG00000135423	The gene targets of the enriched shRNAs are potential genes that positively regulate ferroptosis.	Mice	GLS2 :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Screened	0	_NA_	Q9UI32	27514700	_NA_	2020/12/31	FerrDb team	gene with protein product
57	Ferroptosis	G6PDX	_NA_	_NA_	The gene targets of the enriched shRNAs are potential genes that positively regulate ferroptosis.	Mice	G6PDX :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Screened	0	_NA_	_NA_	27514700	Not found in HGNC	2020/12/31	FerrDb team	unknown
58	Ferroptosis	ULK1	HGNC:12558	ENSG00000177169	Potential positive regulators of ferroptosis. Knockout of ULK1 led to significantly lower levels of erastin-induced ferroptosis in a dose- and time-dependent manner.	Mice	ULK1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Validated	0	_NA_	O75385	27514700	_NA_	2020/12/31	FerrDb team	gene with protein product
59	Ferroptosis	ATG3	HGNC:20962	ENSG00000144848	Potential positive regulators of ferroptosis. Knockout of ATG3 greatly reduced the sensitivity of MEFs to ferropotosis, and reconstituting ATG3 back to these cells restored the ferroptosis sensitivity.	Mice	ATG3 :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Validated	0	_NA_	Q9NT62	27514700	_NA_	2020/12/31	FerrDb team	gene with protein product
60	Ferroptosis	ATG4D	HGNC:20789	ENSG00000130734	Potential positive regulators of ferroptosis.	Mice	ATG4D :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Screened	0	_NA_	Q86TL0	27514700	_NA_	2020/12/31	FerrDb team	gene with protein product
61	Ferroptosis	ATG5	HGNC:589	ENSG00000057663	Potential positive regulators of ferroptosis. Knockout of ATG5 led to significantly lower levels of erastin-induced ferroptosis in a dose- and time-dependent manner.	Mice	ATG5 :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Validated	0	_NA_	Q9H1Y0	27514700	_NA_	2020/12/31	FerrDb team	gene with protein product
62	Ferroptosis	BECN1	HGNC:1034	ENSG00000126581	Potential positive regulators of ferroptosis.	Mice	BECN1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Screened	0	_NA_	Q14457	27514700	_NA_	2020/12/31	FerrDb team	gene with protein product
63	Ferroptosis	MAP1LC3A	HGNC:6838	ENSG00000101460	Potential positive regulators of ferroptosis.	Mice	MAP1LC3A :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Screened	0	_NA_	Q9H492	27514700	_NA_	2020/12/31	FerrDb team	gene with protein product
64	Ferroptosis	GABARAPL2	HGNC:13291	ENSG00000034713	Potential positive regulators of ferroptosis.	Mice	GABARAPL2 :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Screened	0	_NA_	P60520	27514700	_NA_	2020/12/31	FerrDb team	gene with protein product
65	Ferroptosis	GABARAPL1	HGNC:4068	ENSG00000139112	Potential positive regulators of ferroptosis.	Mice	GABARAPL1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Screened	0	_NA_	Q9H0R8	27514700	_NA_	2020/12/31	FerrDb team	gene with protein product
66	Ferroptosis	ATG16L1	HGNC:21498	ENSG00000085978	Potential positive regulators of ferroptosis.	Mice	ATG16L1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Screened	0	_NA_	Q676U5	27514700	_NA_	2020/12/31	FerrDb team	gene with protein product
67	Ferroptosis	WIPI1	HGNC:25471	ENSG00000070540	Potential positive regulators of ferroptosis.	Mice	WIPI1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Screened	0	_NA_	Q5MNZ9	27514700	_NA_	2020/12/31	FerrDb team	gene with protein product
68	Ferroptosis	WIPI2	HGNC:32225	ENSG00000157954	Potential positive regulators of ferroptosis.	Mice	WIPI2 :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Screened	0	_NA_	Q9Y4P8	27514700	_NA_	2020/12/31	FerrDb team	gene with protein product
69	Ferroptosis	SNX4	HGNC:11175	ENSG00000114520	Potential positive regulators of ferroptosis.	Mice	SNX4 :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Screened	0	_NA_	O95219	27514700	_NA_	2020/12/31	FerrDb team	gene with protein product
70	Ferroptosis	ATG13	HGNC:29091	ENSG00000175224	Knockout of ATG13 greatly reduced the sensitivity of MEFs to ferropotosis, and reconstituting ATG13 back to these cells restored the ferroptosis sensitivity.	Mice	ATG13 :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Validated	0	_NA_	O75143	27514700	_NA_	2020/12/31	FerrDb team	gene with protein product
71	Ferroptosis	ULK2	HGNC:13480	ENSG00000083290	Knockout of ULK2 led to significantly lower levels of erastin-induced ferroptosis in a dose- and time-dependent manner.	Mice	ULK2 :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Validated	0	_NA_	Q8IYT8	27514700	_NA_	2020/12/31	FerrDb team	gene with protein product
72	Ferroptosis	NCOA4	HGNC:7671	ENSG00000266412	Elimination of NCOA4 expression by RNAi knockdown significantly block ferroptosis	Human, mice	NCOA4 :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Validated	0	_NA_	Q13772	27514700	_NA_	2020/12/31	FerrDb team	gene with protein product
73	Ferroptosis	ACSL4	HGNC:3571	ENSG00000068366	Knockdown inhibited erastin-induced ferroptosis, whereas overexpression restored ferroptosis sensitization.	Human	ACSL4 :+: 5-HETE, 5-HETE :+: Ferroptosis	Validated	0	_NA_	O60488	27565726	_NA_	2020/12/31	FerrDb team	gene with protein product
74	Ferroptosis	TP53	HGNC:11998	ENSG00000141510	p53 acetylation has a critical role in ferroptotic responses. Simultaneous loss of K98/117/161/162 acetylations is unable to induce ferroptosis, and its ability to thwart cancer growth is also abrogated.	Human, mice	TP53 :-: SLC7A11, SLC7A11 :-: Ferroptosis	Validated	0	_NA_	P04637	27705786	_NA_	2020/12/31	FerrDb team	gene with protein product
75	Ferroptosis	SAT1	HGNC:10540	ENSG00000130066	p53-mediated activation of SAT1 contributes to ferroptotic cell death in the presence of ROS stress. Knockdown of Sat1 partially rescued ROS-induced ferroptosis.	Human, mice	SAT1 :+: ALOX15, ALOX15 :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Validated	0	Activated by p53.	P21673	27698118	_NA_	2020/12/31	FerrDb team	gene with protein product
76	Ferroptosis	ALOX15	HGNC:433	ENSG00000161905	SAT1- and ROS-induced ferroptosis was completely abrogated by PD146176, an ALOX15-specific inhibitor.	Human	ALOX15 :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Validated	0	_NA_	P16050	27698118	_NA_	2020/12/31	FerrDb team	gene with protein product
77	Ferroptosis	ACSL4	HGNC:3571	ENSG00000068366	Inhibition of ACSL4 was effective in protecting against RSL3-induced cell death. Acsl4 KO cells are resistant to ferroptosis.	Mice	ACSL4 :+: PE, PE :+: Ferroptosis	Validated	0	_NA_	O60488	27842066	_NA_	2020/12/31	FerrDb team	gene with protein product
78	Ferroptosis	LPCAT3	HGNC:30244	ENSG00000111684	Knockdown of Lpcat3 increased resistance to ferroptosis triggered by RSL3.	Mice	LPCAT3 :+: Ferroptosis	Validated	0	_NA_	Q6P1A2	27842066	_NA_	2020/12/31	FerrDb team	gene with protein product
79	Ferroptosis	ALOX15	HGNC:433	ENSG00000161905	Liproxstatin-1 inhibited the 15-LOX enzymatic activity and suppressed ferroptosis.	Mice	ALOX15 :+: PE, PE :+: Ferroptosis	Validated	0	_NA_	P16050	27842066	15-LOX in article	2020/12/31	FerrDb team	gene with protein product
80	Ferroptosis	ACSL4	HGNC:3571	ENSG00000068366	An essential proferroptotic gene. Re-expression of Flag-tagged human wild-type (WT) ACSL4 (ACSL4-Flag) in Acsl4 KO Pfa1 cells restored full sensitivity to ferroptosis induction. Inhibition showed significantly prolonged survival compared to vehicle-treated mice.	Human, mice	ACSL4 :+: Ferroptosis	Validated	0	_NA_	O60488	27842070	_NA_	2020/12/31	FerrDb team	gene with protein product
81	Ferroptosis	KEAP1	HGNC:23177	ENSG00000079999	Keap 1 silencing decreased ferroptosis.	Mice	KEAP1 :-: NFE2L2, NFE2L2 :-: Ferroptosis	Validated	0	_NA_	Q14145	28012440	_NA_	2020/12/31	FerrDb team	gene with protein product
82	Ferroptosis	EGFR	HGNC:3236	ENSG00000146648	Cell death in activated EGFR mutant cells occurs by ferroptosis. Inhibiting EGFR and MAPK signaling rescued cell viability following cystine withdrawal.	Human	EGFR :+: MAPK, MAPK :+: Ferroptosis	Validated	0	_NA_	P00533	28297659	_NA_	2020/12/31	FerrDb team	gene with protein product
83	Ferroptosis	NOX4	HGNC:7891	ENSG00000086991	Inhibition of NADPH oxidase 4 (NOX4) blocked ferroptosis.	Human	NOX4 :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Validated	0	_NA_	Q9NPH5	28297659	_NA_	2020/12/31	FerrDb team	gene with protein product
84	Ferroptosis	MAPK3	HGNC:6877	ENSG00000102882	Inhibiting EGFR and MAPK signaling rescued cell viability following cystine withdrawal.	Human	MAPK :-: GPX4, GPX4 :-: Lipid ROS, MAPK :+: NOX4, NOX4 :+: H2O2, H2O2 :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Validated	0	_NA_	P27361	28297659	ERK1 in article	2020/12/31	FerrDb team	gene with protein product
85	Ferroptosis	MAPK1	HGNC:6871	ENSG00000100030	Inhibiting EGFR and MAPK signaling rescued cell viability following cystine withdrawal.	Human	MAPK :-: GPX4, GPX4 :-: Lipid ROS, MAPK :+: NOX4, NOX4 :+: H2O2, H2O2 :+: Lipid ROS, Lipid ROS :+: Ferroptosis	Validated	0	_NA_	P28482	28297659	ERK2 in article	2020/12/31	FerrDb team	gene with protein product
86	Ferroptosis	BID	HGNC:1050	ENSG00000015475	BID deletion prevents erastin- and glutamate-induced cell death. BID inhibition inhibited erastin-induced ferroptosis.	Mice	BID :+: Ferroptosis	Validated	0	_NA_	P55957	28384611	_NA_	2020/12/31	FerrDb team	gene with protein product
87	Ferroptosis	ACSL4	HGNC:3571	ENSG00000068366	Knockout of Acsl4 in ferroptosis-sensitive cells conferred protection from erastin- and RSL3-induced cell death.	Human, mice	ACSL4 :+: Ferroptosis	Validated	0	_NA_	O60488	28551825	_NA_	2020/12/31	FerrDb team	gene with protein product
